municipality_code,municipality_name,age_band,sex,education_code,education,estimated_population,p_age_sex_education_ge500_given_municipality,p_ge500_given_municipality_age_sex_education
13121,足立区,35～39歳,女,E06,在学中,74.53610056,3.59261263e-05,0.2985721394
13121,足立区,35～39歳,女,E07,未就学,8.281788951,1.711415211e-06,0.1280079035
13121,足立区,35～39歳,女,E08,不詳,7345.946799,0.001838903343,0.1550660341
14100,横浜市,35～39歳,男,E01,小学校・中学校,3907.009907,0.0002442301117,0.2085121012
14100,横浜市,35～39歳,男,E02,高校・旧中相当,21619.9359,0.002224953113,0.3432756757
14100,横浜市,35～39歳,男,E03,短大・高専等,11741.20971,0.001484651302,0.4217821415
14100,横浜市,35～39歳,男,E04,大学等,42459.76497,0.008418867812,0.661382461
14100,横浜市,35～39歳,男,E05,大学院,11817.98585,0.003027450723,0.8544962997
14100,横浜市,35～39歳,男,E06,在学中,468.5317064,7.697681373e-05,0.5480213951
14100,横浜市,35～39歳,男,E07,未就学,48.73777415,6.073735572e-06,0.4156873021
14100,横浜市,35～39歳,男,E08,不詳,27688.82418,0.00429262429,0.517124286
14100,横浜市,35～39歳,女,E01,小学校・中学校,2786.841146,2.675782078e-06,0.003202691415
14100,横浜市,35～39歳,女,E02,高校・旧中相当,20756.59725,0.0001359630935,0.02184949721
14100,横浜市,35～39歳,女,E03,短大・高専等,25288.66518,0.0004593970087,0.06059528405
14100,横浜市,35～39歳,女,E04,大学等,38380.69446,0.002184427291,0.1898459489
14100,横浜市,35～39歳,女,E05,大学院,4010.033604,0.0004996173926,0.415590973
14100,横浜市,35～39歳,女,E06,在学中,366.8965035,2.083642818e-05,0.1894332759
14100,横浜市,35～39歳,女,E07,未就学,61.76692333,1.664842373e-06,0.08990704439
14100,横浜市,35～39歳,女,E08,不詳,22704.50493,0.000738738517,0.1085313677
47201,那覇市,35～39歳,男,E01,小学校・中学校,531.9438652,0.0001007383815,0.0513694973
47201,那覇市,35～39歳,男,E02,高校・旧中相当,2757.956503,0.0009909146911,0.09745968556
47201,那覇市,35～39歳,男,E03,短大・高専等,1084.789257,0.0005518865691,0.1380004811
47201,那覇市,35～39歳,男,E04,大学等,2592.834439,0.002731479728,0.2857586242
47201,那覇市,35～39歳,男,E05,大学院,290.531227,0.0005236596985,0.4889140123
47201,那覇市,35～39歳,男,E06,在学中,32.39736704,2.313464329e-05,0.1936998314
47201,那覇市,35～39歳,男,E07,未就学,2.090152712,9.430558092e-07,0.1223870672
47201,那覇市,35～39歳,男,E08,不詳,2630.457188,0.001713898675,0.176738049
47201,那覇市,35～39歳,女,E01,小学校・中学校,384.1750076,5.178616209e-07,0.0003656459513
47201,那覇市,35～39歳,女,E02,高校・旧中相当,2489.454049,8.061747344e-05,0.008784179868
47201,那覇市,35～39歳,女,E03,短大・高専等,2091.960975,0.0002177304024,0.02823200016
47201,那覇市,35～39歳,女,E04,大学等,2399.300981,0.0006614959656,0.07478570971
47201,那覇市,35～39歳,女,E05,大学院,179.2816702,7.98460756e-05,0.1208074834
47201,那覇市,35～39歳,女,E06,在学中,35.85633404,9.304505359e-06,0.0703887992
47201,那覇市,35～39歳,女,E07,未就学,2.048933374,2.160098017e-07,0.02859708544
47201,那覇市,35～39歳,女,E08,不詳,2550.92205,0.0003384333476,0.03598753605
